0.6000,1.3980,0.7621,0.3267
0.4000,1.0209,1.6056,0.1537
0.2000,0.9068,0.7134,0.4734
0.0000,1.3272,1.7798,0.6705
0.2000,0.5282,0.8941,0.9011
0.4000,1.1617,1.7608,0.2882
0.2000,1.2782,0.5774,0.4699
0.6000,1.1492,1.7493,0.7624
0.0000,0.6803,0.7268,0.1358
0.2000,1.0936,1.6947,0.9386
0.8000,1.1466,0.7172,0.5247
0.8000,0.9443,1.6546,0.1461
0.6000,0.9567,0.7311,0.6331
0.0000,1.3030,1.5604,0.1358
0.6000,0.3816,0.8606,0.3317
0.4000,1.2517,1.7319,0.4239
0.0000,1.1225,0.8179,0.1201
0.6000,0.9604,1.7968,0.6310
0.8000,0.9237,0.7365,0.0454
0.0000,0.8529,1.8902,0.7835
0.0000,1.0661,0.6535,0.6449
0.6000,0.8272,1.9120,0.2164
0.0000,0.5192,0.7848,0.5348
0.2000,1.3121,1.7857,0.8059
0.2000,1.3353,0.7932,0.6956
0.6000,1.2127,1.6289,0.1126
0.6000,1.3141,0.7749,0.5992
0.0000,1.3081,1.5824,0.7152
0.2000,0.7178,0.6464,0.8134
0.6000,0.9399,1.5897,0.6701
0.0000,0.8075,0.8215,0.9635
0.2000,1.3785,1.6975,0.5364
0.2000,0.7906,0.9037,0.4849
0.2000,1.0019,1.7118,0.2694
0.0000,1.2605,0.6786,0.8840
0.6000,1.0212,1.9203,0.5764
0.8000,0.9571,0.7246,0.6755
0.2000,1.1987,1.6650,0.1081
0.6000,0.6458,0.8199,0.8965
0.4000,0.7436,1.8319,0.8261
0.0000,0.6956,0.6895,0.4608
0.2000,1.1465,1.8479,0.3039
0.6000,0.4944,0.8609,0.8062
0.0000,1.2432,1.7744,0.4115
0.0000,1.1429,0.8124,0.7477
0.6000,1.0325,1.7666,0.7898
0.6000,1.0113,0.7684,0.9725
0.6000,0.8416,1.6634,0.4303
0.8000,0.9898,0.8031,0.0027
0.4000,0.8311,1.7384,0.1016
